1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 3 4 5 6 7 8 9 1 
5 6 7 8 9 1 2 3 4 
8 9 1 2 3 4 5 6 7 
3 4 5 6 7 8 9 1 2 
6 7 8 9 1 2 3 4 5 
9 1 2 3 4 5 6 7 8 
1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 3 4 5 6 7 8 9 1 
5 6 7 8 9 1 2 3 4 
8 9 1 2 3 4 5 6 7 
3 4 8 6 7 9 9 9 2 
9 7 9 9 1 2 3 4 9 
9 1 2 9 9 5 6 9 8 
1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 3 4 5 6 7 8 9 1 
6 9 7 8 9 9 9 9 4 
9 9 1 9 3 4 9 9 7 
9 4 9 6 7 9 9 9 2 
9 7 9 9 1 2 3 4 9 
9 1 2 9 9 5 6 9 8 
1 2 3 4 5 6 7 8 9 
5 9 6 7 9 9 9 2 3 
9 8 9 9 2 3 9 5 6 
2 3 4 5 9 7 8 9 1 
9 9 7 8 9 9 9 9 4 
9 9 1 9 3 4 9 9 7 
9 4 9 6 7 9 9 9 2 
9 7 9 9 1 2 3 4 9 
9 1 2 9 9 5 6 9 8 
1 2 3 4 5 8 9 9 9 
9 9 6 7 9 9 9 2 3 
9 8 9 9 2 3 9 5 6 
2 3 4 5 9 7 8 9 1 
9 9 7 8 9 9 9 9 4 
9 9 1 9 3 4 9 9 7 
9 4 9 6 7 9 9 9 2 
9 7 9 9 1 2 3 4 9 
9 1 2 9 9 5 6 9 8 
1 2 3 4 6 9 9 9 9 
9 9 6 7 9 9 9 2 3 
9 8 9 9 2 3 9 5 6 
2 3 4 5 9 7 8 9 1 
9 9 7 8 9 9 9 9 4 
9 9 1 9 3 4 9 9 7 
9 4 9 6 7 9 9 9 2 
9 7 9 9 1 2 3 4 9 
9 1 2 9 9 5 6 9 8 
1 2 3 4 8 9 9 9 9 
9 9 6 7 9 9 9 2 3 
9 8 9 9 2 3 9 5 6 
2 3 4 5 9 7 8 9 1 
9 9 7 8 9 9 9 9 4 
9 9 1 9 3 4 9 9 7 
9 4 9 6 7 9 9 9 2 
9 7 9 9 1 2 3 4 9 
9 1 2 9 9 5 6 9 8 
1 5 3 4 9 9 9 9 9 
9 9 6 7 9 9 9 2 3 
9 8 9 9 2 3 9 5 6 
2 3 4 5 9 7 8 9 1 
9 9 7 8 9 9 9 9 4 
9 9 1 9 3 4 9 9 7 
9 4 9 6 7 9 9 9 2 
9 7 9 9 1 2 3 4 9 
9 1 2 9 9 5 6 9 8 
1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 3 4 5 6 7 8 9 1 
5 6 7 8 9 1 2 3 4 
8 9 1 2 3 4 5 6 7 
3 4 5 6 7 8 9 1 2 
9 1 2 3 4 5 6 7 8 
6 7 8 9 1 2 3 4 5 
1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 3 4 5 6 7 8 9 1 
5 6 7 8 9 1 2 3 4 
8 9 1 2 3 4 5 6 7 
6 4 9 9 7 8 9 9 9 
9 9 2 9 9 5 9 7 8 
9 7 8 9 9 2 9 4 5 
1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 3 7 5 9 9 8 9 1 
5 6 9 8 9 9 2 9 9 
9 9 1 9 3 4 5 9 7 
9 4 9 9 7 8 9 9 9 
9 9 2 9 9 5 9 7 8 
9 7 8 9 9 2 9 4 5 
1 2 3 4 5 6 7 8 9 
4 5 7 9 8 9 9 9 3 
9 8 9 1 2 3 9 5 6 
9 3 9 5 9 9 8 9 1 
5 6 9 8 9 9 2 9 9 
9 9 1 9 3 4 5 9 7 
9 4 9 9 7 8 9 9 9 
9 9 2 9 9 5 9 7 8 
9 7 8 9 9 2 9 4 5 
1 2 3 4 5 6 7 8 9 
6 9 9 9 8 9 9 9 3 
9 8 9 1 2 3 9 5 6 
9 3 9 5 9 9 8 9 1 
5 6 9 8 9 9 2 9 9 
9 9 1 9 3 4 5 9 7 
9 4 9 9 7 8 9 9 9 
9 9 2 9 9 5 9 7 8 
9 7 8 9 9 2 9 4 5 
1 2 3 4 5 6 7 8 9 
7 9 9 9 8 9 9 9 3 
9 8 9 1 2 3 9 5 6 
9 3 9 5 9 9 8 9 1 
5 6 9 8 9 9 2 9 9 
9 9 1 9 3 4 5 9 7 
9 4 9 9 7 8 9 9 9 
9 9 2 9 9 5 9 7 8 
9 7 8 9 9 2 9 4 5 
1 2 3 4 6 9 7 8 9 
9 9 9 9 8 9 9 9 3 
9 8 9 1 2 3 9 5 6 
9 3 9 5 9 9 8 9 1 
5 6 9 8 9 9 2 9 9 
9 9 1 9 3 4 5 9 7 
9 4 9 9 7 8 9 9 9 
9 9 2 9 9 5 9 7 8 
9 7 8 9 9 2 9 4 5 
1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 3 4 5 6 7 8 9 9 
5 6 7 8 9 1 2 3 4 
8 9 1 2 3 4 5 6 7 
6 7 8 9 1 2 3 4 5 
3 4 5 6 7 8 9 1 2 
9 1 2 3 4 5 6 7 8 
1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 3 4 5 7 9 8 9 9 
5 6 9 8 9 9 9 9 4 
9 9 1 2 3 4 5 6 7 
6 7 8 9 1 2 3 9 5 
3 9 9 9 9 8 9 1 9 
9 9 2 9 9 5 9 9 8 
1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 3 4 6 9 9 8 9 9 
5 6 9 8 9 9 9 9 4 
9 9 1 2 3 4 5 6 7 
6 7 8 9 1 2 3 9 5 
3 9 9 9 9 8 9 1 9 
9 9 2 9 9 5 9 9 8 
1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 3 9 
7 8 9 1 9 3 4 5 6 
9 9 4 9 9 9 8 9 9 
5 6 9 8 9 9 9 9 4 
9 9 1 2 3 4 5 6 7 
6 7 8 9 1 2 3 9 5 
3 9 9 9 9 8 9 1 9 
9 9 2 9 9 5 9 9 8 
1 2 3 4 6 9 7 9 9 
9 5 9 7 8 9 1 9 9 
7 8 9 1 9 3 4 5 6 
9 9 4 9 9 9 8 9 9 
5 6 9 8 9 9 9 9 4 
9 9 1 2 3 4 5 6 7 
6 7 8 9 1 2 3 9 5 
3 9 9 9 9 8 9 1 9 
9 9 2 9 9 5 9 9 8 
1 2 3 5 9 9 7 9 9 
9 5 9 7 8 9 1 9 9 
7 8 9 1 9 3 4 5 6 
9 9 4 9 9 9 8 9 9 
5 6 9 8 9 9 9 9 4 
9 9 1 2 3 4 5 6 7 
6 7 8 9 1 2 3 9 5 
3 9 9 9 9 8 9 1 9 
9 9 2 9 9 5 9 9 8 
1 2 3 6 9 9 7 9 9 
9 5 9 7 8 9 1 9 9 
7 8 9 1 9 3 4 5 6 
9 9 4 9 9 9 8 9 9 
5 6 9 8 9 9 9 9 4 
9 9 1 2 3 4 5 6 7 
6 7 8 9 1 2 3 9 5 
3 9 9 9 9 8 9 1 9 
9 9 2 9 9 5 9 9 8 
1 2 6 9 9 9 7 9 9 
9 5 9 7 8 9 1 9 9 
7 8 9 1 9 3 4 5 6 
9 9 4 9 9 9 8 9 9 
5 6 9 8 9 9 9 9 4 
9 9 1 2 3 4 5 6 7 
6 7 8 9 1 2 3 9 5 
3 9 9 9 9 8 9 1 9 
9 9 2 9 9 5 9 9 8 
1 3 9 9 9 9 7 9 9 
9 5 9 7 8 9 1 9 9 
7 8 9 1 9 3 4 5 6 
9 9 4 9 9 9 8 9 9 
5 6 9 8 9 9 9 9 4 
9 9 1 2 3 4 5 6 7 
6 7 8 9 1 2 3 9 5 
3 9 9 9 9 8 9 1 9 
9 9 2 9 9 5 9 9 8 
1 4 9 9 9 9 7 9 9 
9 5 9 7 8 9 1 9 9 
7 8 9 1 9 3 4 5 6 
9 9 4 9 9 9 8 9 9 
5 6 9 8 9 9 9 9 4 
9 9 1 2 3 4 5 6 7 
6 7 8 9 1 2 3 9 5 
3 9 9 9 9 8 9 1 9 
9 9 2 9 9 5 9 9 8 
